,State,year,injuries,Hospitalized,Amputation,public,private,ratio,total,RTW,prez_red,Arm,BODY SYSTEMS,Back,Core,Foot,Groin,Hand,Head,Leg,Multiple,Nonclassifiable,Organ,Upper and lower limb(s),Whole body
74,IDAHO,2017,119.0,100.0,27.0,1148.0,1338.0,1.1655052264808363,2486.0,True,Republican,7.0,2.0,4.0,5.0,9.0,1.0,32.0,12.0,19.0,9.0,8.0,8.0,3.0,0.0
75,IDAHO,2018,102.0,79.0,27.0,1262.0,1609.0,1.2749603803486529,2871.0,True,Republican,3.0,4.0,8.0,4.0,5.0,3.0,30.0,3.0,20.0,12.0,5.0,5.0,0.0,0.0
76,IDAHO,2019,109.0,88.0,30.0,1132.0,1501.0,1.3259717314487633,2633.0,True,Republican,2.0,2.0,1.0,5.0,5.0,2.0,36.0,6.0,17.0,17.0,3.0,11.0,2.0,0.0
77,IDAHO,2020,63.0,44.0,22.0,0.0,0.0,0.0,0.0,True,Republican,4.0,1.0,1.0,2.0,4.0,0.0,20.0,4.0,12.0,7.0,3.0,4.0,1.0,0.0
78,ILLINOIS,2015,611.0,485.0,180.0,10828.0,9976.0,0.921315108976727,20804.0,False,Democrat,35.0,27.0,22.0,26.0,47.0,4.0,230.0,40.0,59.0,33.0,64.0,22.0,2.0,0.0
79,ILLINOIS,2016,640.0,519.0,182.0,9893.0,9748.0,0.9853431719397554,19641.0,False,Democrat,44.0,27.0,20.0,36.0,42.0,4.0,237.0,49.0,77.0,41.0,36.0,21.0,6.0,0.0
80,ILLINOIS,2017,628.0,498.0,186.0,9416.0,8799.0,0.9344732370433305,18215.0,False,Democrat,42.0,23.0,25.0,25.0,48.0,7.0,245.0,51.0,54.0,43.0,33.0,27.0,5.0,0.0
81,ILLINOIS,2018,666.0,517.0,202.0,9095.0,8989.0,0.988345244639912,18084.0,False,Democrat,38.0,23.0,15.0,36.0,48.0,2.0,256.0,53.0,84.0,49.0,25.0,31.0,6.0,0.0
82,ILLINOIS,2019,662.0,524.0,196.0,9062.0,7567.0,0.8350253807106599,16629.0,False,Democrat,40.0,17.0,22.0,38.0,57.0,8.0,257.0,44.0,71.0,44.0,18.0,36.0,9.0,1.0
83,ILLINOIS,2020,389.0,318.0,117.0,0.0,0.0,0.0,0.0,False,Democrat,33.0,13.0,14.0,27.0,15.0,1.0,142.0,21.0,53.0,32.0,11.0,23.0,4.0,0.0
84,INDIANA,2015,6.0,2.0,4.0,4785.0,6269.0,1.310135841170324,11054.0,True,Republican,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
85,INDIANA,2016,5.0,4.0,1.0,5625.0,5232.0,0.9301333333333334,10857.0,True,Republican,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
86,INDIANA,2017,6.0,6.0,1.0,4292.0,5824.0,1.3569431500465983,10116.0,True,Republican,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,INDIANA,2018,5.0,5.0,0.0,5037.0,5718.0,1.1351995235259082,10755.0,True,Republican,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
88,INDIANA,2019,2.0,2.0,0.0,5671.0,6011.0,1.0599541527067537,11682.0,True,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
89,INDIANA,2020,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,Republican,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,IOWA,2015,3.0,3.0,0.0,4699.0,7399.0,1.5745903383698658,12098.0,True,Republican,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
91,IOWA,2016,4.0,3.0,1.0,4338.0,6193.0,1.4276164130935916,10531.0,True,Republican,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92,IOWA,2017,2.0,2.0,0.0,3551.0,5037.0,1.4184736693889046,8588.0,True,Republican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
93,IOWA,2018,1.0,1.0,0.0,3203.0,5154.0,1.6091164533250077,8357.0,True,Republican,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,IOWA,2019,8.0,5.0,3.0,4663.0,3767.0,0.8078490242333262,8430.0,True,Republican,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
95,IOWA,2020,4.0,4.0,0.0,0.0,0.0,0.0,0.0,True,Republican,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,KANSAS,2015,215.0,166.0,69.0,2723.0,2580.0,0.9474843922144693,5303.0,True,Republican,19.0,7.0,5.0,8.0,24.0,1.0,81.0,9.0,27.0,11.0,12.0,5.0,5.0,1.0
97,KANSAS,2016,231.0,185.0,64.0,3695.0,3127.0,0.8462787550744248,6822.0,True,Republican,18.0,16.0,4.0,13.0,16.0,3.0,75.0,18.0,23.0,17.0,8.0,15.0,4.0,1.0
98,KANSAS,2017,178.0,137.0,50.0,2324.0,3044.0,1.3098106712564543,5368.0,True,Republican,13.0,7.0,4.0,13.0,16.0,1.0,62.0,8.0,19.0,18.0,6.0,10.0,1.0,0.0
99,KANSAS,2018,207.0,165.0,60.0,2350.0,3442.0,1.4646808510638298,5792.0,True,Republican,15.0,14.0,9.0,10.0,18.0,1.0,70.0,15.0,22.0,16.0,6.0,10.0,1.0,0.0
100,KANSAS,2019,231.0,191.0,64.0,2767.0,2616.0,0.9454282616552223,5383.0,True,Republican,18.0,9.0,6.0,12.0,19.0,2.0,69.0,26.0,29.0,19.0,6.0,15.0,1.0,0.0
